month,state,mapped_alpr
2024-08,wy,0
2024-09,ak,0
2024-09,al,1
2024-09,ar,2
2024-09,az,0
2024-09,ca,181
2024-09,co,0
2024-09,ct,0
2024-09,dc,0
2024-09,de,0
2024-09,fl,54
2024-09,ga,28
2024-09,hi,0
2024-09,ia,0
2024-09,id,0
2024-09,il,372
2024-09,in,6
2024-09,ks,39
2024-09,ky,1
2024-09,la,0
2024-09,ma,77
2024-09,md,2
2024-09,me,2
2024-09,mi,80
2024-09,mn,1
2024-09,mo,1
2024-09,ms,0
2024-09,mt,0
2024-09,nc,4
2024-09,nd,0
2024-09,ne,0
2024-09,nh,20
2024-09,nj,12
2024-09,nm,2
2024-09,nv,0
2024-09,ny,61
2024-09,oh,287
2024-09,ok,114
2024-09,or,0
2024-09,pa,28
2024-09,ri,0
2024-09,sc,0
2024-09,sd,0
2024-09,tn,0
2024-09,tx,90
2024-09,ut,0
2024-09,va,21
2024-09,vt,0
2024-09,wa,3
2024-09,wi,0
2024-09,wv,0
2024-09,wy,0
2024-10,ak,0
2024-10,al,8
2024-10,ar,2
2024-10,az,0
2024-10,ca,186
2024-10,co,0
2024-10,ct,0
2024-10,dc,0
2024-10,de,0
2024-10,fl,54
2024-10,ga,29
2024-10,hi,0
2024-10,ia,0
2024-10,id,0
2024-10,il,407
2024-10,in,6
2024-10,ks,39
2024-10,ky,1
2024-10,la,0
2024-10,ma,77
2024-10,md,2
2024-10,me,2
2024-10,mi,81
2024-10,mn,1
2024-10,mo,1
2024-10,ms,0
2024-10,mt,0
2024-10,nc,4
2024-10,nd,0
2024-10,ne,0
2024-10,nh,20
2024-10,nj,13
2024-10,nm,3
2024-10,nv,0
2024-10,ny,61
2024-10,oh,290
2024-10,ok,115
2024-10,or,2
2024-10,pa,28
2024-10,ri,0
2024-10,sc,0
2024-10,sd,0
2024-10,tn,4
2024-10,tx,101
2024-10,ut,0
2024-10,va,21
2024-10,vt,0
2024-10,wa,3
2024-10,wi,0
2024-10,wv,0
2024-10,wy,0
2024-11,ak,0
2024-11,al,83
2024-11,ar,2
2024-11,az,0
2024-11,ca,194
2024-11,co,15
2024-11,ct,0
2024-11,dc,0
2024-11,de,0
2024-11,fl,54
2024-11,ga,29
2024-11,hi,0
2024-11,ia,0
2024-11,id,0
2024-11,il,419
2024-11,in,6
2024-11,ks,39
2024-11,ky,1
2024-11,la,0
2024-11,ma,77
2024-11,md,2
2024-11,me,2
2024-11,mi,92
2024-11,mn,1
2024-11,mo,1
2024-11,ms,0
2024-11,mt,0
2024-11,nc,4
2024-11,nd,0
2024-11,ne,0
2024-11,nh,20
2024-11,nj,13
2024-11,nm,3
2024-11,nv,0
2024-11,ny,61
2024-11,oh,293
2024-11,ok,115
2024-11,or,2
2024-11,pa,28
2024-11,ri,0
2024-11,sc,0
2024-11,sd,0
2024-11,tn,4
2024-11,tx,102
2024-11,ut,0
2024-11,va,38
2024-11,vt,0
2024-11,wa,3
2024-11,wi,0
2024-11,wv,0
2024-11,wy,0
2024-12,ak,0
2024-12,al,192
2024-12,ar,4
2024-12,az,0
2024-12,ca,1146
2024-12,co,184
2024-12,ct,15
2024-12,dc,0
2024-12,de,0
2024-12,fl,134
2024-12,ga,117
2024-12,hi,0
2024-12,ia,0
2024-12,id,0
2024-12,il,602
2024-12,in,41
2024-12,ks,78
2024-12,ky,199
2024-12,la,5
2024-12,ma,77
2024-12,md,2
2024-12,me,2
2024-12,mi,178
2024-12,mn,24
2024-12,mo,46
2024-12,ms,7
2024-12,mt,0
2024-12,nc,13
2024-12,nd,0
2024-12,ne,2
2024-12,nh,20
2024-12,nj,20
2024-12,nm,4
2024-12,nv,4
2024-12,ny,82
2024-12,oh,445
2024-12,ok,199
2024-12,or,38
2024-12,pa,31
2024-12,ri,2
2024-12,sc,1
2024-12,sd,0
2024-12,tn,65
2024-12,tx,437
2024-12,ut,4
2024-12,va,324
2024-12,vt,0
2024-12,wa,24
2024-12,wi,84
2024-12,wv,3
2024-12,wy,5
2025-01,ak,0
2025-01,al,229
2025-01,ar,10
2025-01,az,49
2025-01,ca,1862
2025-01,co,211
2025-01,ct,26
2025-01,dc,0
2025-01,de,0
2025-01,fl,229
2025-01,ga,399
2025-01,hi,0
2025-01,ia,4
2025-01,id,0
2025-01,il,721
2025-01,in,105
2025-01,ks,260
2025-01,ky,221
2025-01,la,60
2025-01,ma,79
2025-01,md,3
2025-01,me,2
2025-01,mi,293
2025-01,mn,24
2025-01,mo,128
2025-01,ms,7
2025-01,mt,0
2025-01,nc,52
2025-01,nd,0
2025-01,ne,5
2025-01,nh,20
2025-01,nj,24
2025-01,nm,4
2025-01,nv,4
2025-01,ny,88
2025-01,oh,615
2025-01,ok,229
2025-01,or,39
2025-01,pa,35
2025-01,ri,2
2025-01,sc,10
2025-01,sd,4
2025-01,tn,99
2025-01,tx,545
2025-01,ut,11
2025-01,va,439
2025-01,vt,0
2025-01,wa,28
2025-01,wi,353
2025-01,wv,3
2025-01,wy,5
2025-02,ak,0
2025-02,al,261
2025-02,ar,15
2025-02,az,61
2025-02,ca,2268
2025-02,co,228
2025-02,ct,44
2025-02,dc,0
2025-02,de,9
2025-02,fl,395
2025-02,ga,538
2025-02,hi,0
2025-02,ia,18
2025-02,id,1
2025-02,il,917
2025-02,in,207
2025-02,ks,261
2025-02,ky,251
2025-02,la,155
2025-02,ma,103
2025-02,md,7
2025-02,me,2
2025-02,mi,677
2025-02,mn,38
2025-02,mo,136
2025-02,ms,15
2025-02,mt,0
2025-02,nc,85
2025-02,nd,0
2025-02,ne,5
2025-02,nh,20
2025-02,nj,27
2025-02,nm,5
2025-02,nv,4
2025-02,ny,96
2025-02,oh,657
2025-02,ok,276
2025-02,or,75
2025-02,pa,35
2025-02,ri,34
2025-02,sc,24
2025-02,sd,4
2025-02,tn,163
2025-02,tx,749
2025-02,ut,11
2025-02,va,520
2025-02,vt,0
2025-02,wa,53
2025-02,wi,430
2025-02,wv,3
2025-02,wy,5
2025-03,ak,0
2025-03,al,316
2025-03,ar,15
2025-03,az,86
2025-03,ca,2744
2025-03,co,242
2025-03,ct,44
2025-03,dc,0
2025-03,de,9
2025-03,fl,623
2025-03,ga,815
2025-03,hi,0
2025-03,ia,169
2025-03,id,1
2025-03,il,1018
2025-03,in,274
2025-03,ks,262
2025-03,ky,260
2025-03,la,175
2025-03,ma,109
2025-03,md,7
2025-03,me,2
2025-03,mi,689
2025-03,mn,43
2025-03,mo,138
2025-03,ms,15
2025-03,mt,0
2025-03,nc,110
2025-03,nd,0
2025-03,ne,7
2025-03,nh,20
2025-03,nj,28
2025-03,nm,5
2025-03,nv,4
2025-03,ny,102
2025-03,oh,718
2025-03,ok,281
2025-03,or,79
2025-03,pa,37
2025-03,ri,36
2025-03,sc,41
2025-03,sd,11
2025-03,tn,181
2025-03,tx,900
2025-03,ut,18
2025-03,va,544
2025-03,vt,0
2025-03,wa,61
2025-03,wi,477
2025-03,wv,3
2025-03,wy,5
2025-04,ak,0
2025-04,al,412
2025-04,ar,31
2025-04,az,111
2025-04,ca,2967
2025-04,co,369
2025-04,ct,44
2025-04,dc,1
2025-04,de,9
2025-04,fl,825
2025-04,ga,1012
2025-04,hi,0
2025-04,ia,191
2025-04,id,1
2025-04,il,1167
2025-04,in,345
2025-04,ks,278
2025-04,ky,304
2025-04,la,263
2025-04,ma,128
2025-04,md,14
2025-04,me,2
2025-04,mi,717
2025-04,mn,58
2025-04,mo,211
2025-04,ms,28
2025-04,mt,0
2025-04,nc,131
2025-04,nd,1
2025-04,ne,20
2025-04,nh,20
2025-04,nj,39
2025-04,nm,37
2025-04,nv,4
2025-04,ny,155
2025-04,oh,811
2025-04,ok,351
2025-04,or,90
2025-04,pa,40
2025-04,ri,46
2025-04,sc,50
2025-04,sd,17
2025-04,tn,214
2025-04,tx,1228
2025-04,ut,78
2025-04,va,634
2025-04,vt,0
2025-04,wa,150
2025-04,wi,507
