state,h_tract,w_tract,workers,flow_share,h_lat,h_lon,w_lat,w_lon,median_income,pop_total,nh_white,nh_black,hispanic,base_km,base_min,base_cameras,avoid_km,avoid_min,avoid_cameras,extra_km,extra_min,cameras_evaded
tn,47113001402,47023970200,6,0.0000021822,35.6402159,-88.7596349,35.4480007,-88.6403675,68542.0,2685.0,1940.0,494.0,16.0,32.6402,29.5017,4,35.9727,40.1341,0,3.3325,10.6324,4
tx,48181000306,48085031717,1,0.0000000809,33.8641012,-96.6581323,33.0066102,-96.7986044,58190.0,2741.0,2361.0,0.0,168.0,99.9073,72.692,31,123.2595,97.898,0,23.3522,25.2061,31
ca,06037575801,06037578000,2,0.0000001189,33.7794168,-118.2013699,33.7948387,-118.2162875,44444.0,2399.0,152.0,444.0,1659.0,3.4144,4.5562,0,3.4144,4.5562,0,0.0,0.0,0
oh,39095004600,39095006500,15,0.0000030973,41.6708175,-83.4790615,41.6817547,-83.6151769,43393.0,2530.0,1592.0,71.0,701.0,15.1036,18.8063,4,18.5039,17.423,0,3.4003,-1.3834,4
ny,36059414800,36059303000,4,0.0000004943,40.6833768,-73.5424561,40.7353328,-73.6855097,165625.0,6558.0,5433.0,44.0,808.0,15.544,17.162,8,16.4479,20.0369,0,0.9039,2.8749,8
nc,37057060201,37081013900,14,0.0000033257,35.9664541,-80.174486,35.9590203,-79.9872123,81125.0,4255.0,3698.0,375.0,144.0,21.6746,24.9598,0,21.6746,24.9598,0,0.0,0.0,0
il,17031190601,17031820202,2,0.0000003780,41.9274146,-87.7804606,41.7778184,-87.8507159,71176.0,3986.0,576.0,74.0,3336.0,21.9376,25.2068,14,22.7337,31.4569,0,0.7961,6.25,14
il,17031080202,17031281900,66,0.0000124726,41.9058589,-87.630901,41.8786346,-87.6429236,103948.0,3800.0,3181.0,60.0,307.0,4.0171,4.5889,2,4.0217,4.6252,0,0.0046,0.0363,2
co,08005007113,08059060400,9,0.0000035433,39.5834236,-104.6685284,39.8856275,-105.0555775,192964.0,6943.0,4992.0,315.0,922.0,57.1398,40.9033,2,58.1767,43.5665,0,1.0369,2.6633,2
wa,53033030700,53033010001,1,0.0000003138,47.2971234,-122.2215759,47.5679917,-122.3049847,61269.0,4499.0,1603.0,621.0,1098.0,34.6374,34.5681,8,37.8197,34.3569,0,3.1823,-0.2112,8
il,17043845802,17043840705,11,0.0000020788,41.7462131,-87.9997677,41.9204921,-87.9501711,86975.0,3559.0,2806.0,45.0,330.0,25.0846,23.1583,12,27.5391,26.6501,0,2.4546,3.4918,12
il,17031803607,17031803500,33,0.0000062363,42.1185514,-88.0155401,42.0739284,-87.9940638,118224.0,4358.0,3490.0,39.0,482.0,7.0349,10.4244,0,7.0349,10.4244,0,0.0,0.0,0
il,17197883514,17197883100,25,0.0000047245,41.5462221,-87.8195495,41.4832253,-88.0754706,159714.0,7424.0,5705.0,622.0,623.0,27.9063,27.8274,7,29.1994,36.9819,0,1.2931,9.1546,7
ca,06053014601,06019004003,3,0.0000001783,36.8334157,-121.7572058,36.7165761,-120.0784796,92078.0,4930.0,704.0,0.0,4140.0,203.5105,159.7575,6,210.0906,168.7454,0,6.5801,8.9879,6
co,08123002204,08005006712,4,0.0000015748,40.4624812,-104.8968487,39.6120244,-104.9083836,97000.0,2050.0,1936.0,0.0,57.0,110.7029,78.6391,4,112.3265,79.6425,1,1.6236,1.0034,3
ny,36087011509,36119008602,3,0.0000003707,41.169851,-74.0368063,41.0478481,-73.7221062,107417.0,3728.0,1506.0,421.0,1281.0,38.8063,32.6349,2,42.37,36.554,0,3.5636,3.9191,2
va,51087200137,51041100931,4,0.0000012130,37.610493,-77.5824848,37.488044,-77.6140982,49604.0,1812.0,1235.0,263.0,254.0,22.3389,22.305,2,22.9106,24.3554,0,0.5717,2.0505,2
