state,h_tract,w_tract,base_r30,base_r45,base_r60,base_r90,avoid_r30,avoid_r45,avoid_r60,avoid_r90
az,04013216850,04013216806,2,3,3,3,0,0,0,1
az,04013216850,04021000206,7,10,10,11,0,0,0,1
az,04013216852,04013319906,1,1,1,1,0,0,0,0
az,04013216852,04013941300,3,3,2,2,0,0,0,0
az,04013216854,04013318400,0,1,1,1,0,0,0,0
az,04013216855,04013216816,1,2,2,2,0,0,0,0
az,04013216859,04013216816,2,2,2,2,0,0,0,0
az,04013216860,04013104401,3,6,6,6,0,0,0,0
az,04013216860,04013217201,2,3,3,3,0,0,0,0
az,04013217001,04013061200,4,6,6,6,0,0,0,0
az,04013217002,04013104224,3,4,6,6,0,0,0,0
az,04013217002,04013319710,2,4,4,4,0,0,0,0
az,04013217203,04013319910,9,10,11,11,0,0,0,0
az,04013217204,04013216845,6,8,8,9,0,0,0,1
az,04013217300,04013216810,3,4,4,4,0,0,0,2
az,04013217400,04013319001,11,12,12,12,1,1,1,1
az,04013217501,04013117200,0,0,0,0,0,0,0,0
az,04013217600,04013422638,1,1,1,1,0,0,0,0
az,04013217800,04013114100,0,2,2,2,0,0,0,0
az,04013217800,04013116725,1,2,2,2,0,0,0,0
az,04013217900,04013217201,1,1,1,1,0,0,0,0
az,04013218000,04013108400,1,1,1,1,0,0,0,0
az,04013218000,04013318700,7,8,9,9,0,0,0,0
az,04013218000,04013421002,2,4,5,5,0,0,0,0
az,04013218100,04013816302,6,8,8,8,0,0,0,0
az,04013218300,04013108502,1,1,1,1,0,0,0,0
az,04013218300,04013110501,0,2,2,2,0,0,0,0
az,04013218300,04013217201,1,1,1,1,0,0,0,0
az,04013318501,04013318700,3,3,3,3,0,0,0,1
az,04013318900,04013111800,0,0,0,0,0,0,0,0
az,04013318900,04013113100,1,1,1,1,0,0,0,0
az,04013318900,04013420109,6,8,8,8,0,0,0,0
az,04013318900,04013618200,0,0,0,0,0,0,0,0
az,04013318900,04013810400,11,10,10,9,0,0,0,0
